date,price
2013/4/23,7200
2013/4/24,7150
2013/4/25,7150
2013/4/26,7200
2013/5/2,7100
2013/5/3,7050
2013/5/6,7100
2013/5/7,7200
2013/5/8,7200
2013/5/9,7200
2013/5/10,7250
2013/5/13,7300
2013/5/14,7350
2013/5/15,7200
2013/5/16,7200
2013/5/17,7250
2013/5/20,7250
2013/5/21,7120
2013/5/22,7350
2013/5/23,7350
2013/5/24,7400
2013/5/27,7300
2013/5/28,7300
2013/5/29,7400
2013/5/30,7350
2013/5/31,7350
2013/6/3,7350
2013/6/4,7300
2013/6/5,7350
2013/6/6,7350
2013/6/7,7350
2013/6/13,7350
2013/6/14,7250
2013/6/17,7300
2013/6/18,7380
2013/6/19,7320
2013/6/20,7320
2013/6/21,7250
2013/6/24,7200
2013/6/25,7120
2013/6/26,7150
2013/6/27,7050
2013/6/28,7100
2013/7/1,7150
2013/7/2,7050
2013/7/3,7180
2013/7/4,7180
2013/7/5,7150
2013/7/8,7150
2013/7/9,7120
2013/7/10,7120
2013/7/11,7200
2013/7/12,7100
2013/7/15,7000
2013/7/16,6950
2013/7/17,7100
2013/7/18,7100
2013/7/19,7150
2013/7/22,7150
2013/7/23,7000
2013/7/24,7150
2013/7/25,7150
2013/7/26,7000
2013/7/29,7000
2013/7/30,6900
2013/7/31,6900
2013/8/1,6950
2013/8/2,6900
2013/8/5,6950
2013/8/6,6950
2013/8/7,6900
2013/8/8,6900
2013/8/9,6950
2013/8/12,6950
2013/8/13,7000
2013/8/14,7050
2013/8/15,7000
2013/8/16,7050
2013/8/19,7100
2013/8/20,7100
2013/8/21,7050
2013/8/22,7080
2013/8/23,7050
2013/8/26,7280
2013/8/27,7300
2013/8/28,7280
2013/8/29,7250
2013/8/30,7150
2013/9/2,7220
2013/9/3,7200
2013/9/4,7230
2013/9/5,7200
2013/9/6,7200
2013/9/9,7300
2013/9/10,7230
2013/9/11,7250
2013/9/12,7200
2013/9/13,7200
2013/9/16,7100
2013/9/17,7150
2013/9/18,7120
2013/9/23,7050
2013/9/24,7100
